TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG
Gardner-Webb,2023,12.9,35.4,13,7.16,10,70.7
George Mason,2023,13.7,35.8,13.7,4.61,9.15,68.7
George Washington,2023,12.7,34.9,12.6,5.69,8.88,76.3
Georgetown,2023,11.9,36,12.3,6.16,10.8,69.5
Georgia,2023,11.2,35.8,13.2,6.31,10.8,68.5
Georgia Southern,2023,10.4,35.3,11.5,7.03,9.85,68.4
Georgia State,2023,11,34.5,12.9,5.77,11.1,66.7
Georgia Tech,2023,14,35,10.6,5.97,10.6,69.7
Gonzaga NCAA,2023,16.6,36.5,10.6,7.64,10.2,87.5
Grambling,2023,12.3,36.2,14.4,7.33,11,69
Grand Canyon NCAA,2023,12.6,36.9,12.1,4.91,10.2,75.3
Green Bay,2023,10.9,28.3,14,5.06,7.34,59.3
Hampton,2023,11,34.3,11.1,4.31,10.5,68.2
Hartford,2023,13,31.6,14.4,6.39,9.11,62.8
Harvard,2023,13.2,36.3,13.6,7.54,10.7,68.4
Hawaii,2023,11.1,35.3,12.2,4.58,9.7,66.9
High Point,2023,12.4,38,14.1,6.55,11.7,74.6
Hofstra,2023,14.3,33.9,10.7,6.26,7.65,75.1
Holy Cross,2023,12.4,32.5,12.1,6.34,7.97,66.8
Houston NCAA,2023,14.8,38.8,9.94,8.32,12.8,75
Houston Christian,2023,14.8,34.3,15.3,5.75,10.3,77.6
Howard NCAA,2023,14.9,35.8,16.3,7.18,11.6,75.5
Idaho,2023,11.9,30.6,11.3,5.13,6.94,73
Idaho State,2023,12.3,31.4,11.6,5.78,8.09,69.2
Illinois NCAA,2023,12.5,37.9,12.8,6.84,11.3,74.7
Illinois State,2023,10.8,32.7,14.6,5.72,8.75,66.5
Illinois-Chicago,2023,13.2,32.4,12.8,6.44,8.41,67.2
Incarnate Word,2023,12.3,31.5,13.7,8.35,9.16,70.8
Indiana NCAA,2023,15.4,35.8,11.6,5.76,9.06,75
Indiana State,2023,15.9,34.6,11.8,6.56,7.03,79.4
Iona NCAA,2023,15,35.8,10.6,7.47,11.2,76.4
Iowa NCAA,2023,16.6,36.3,9.91,6.63,12,80.2
Iowa State NCAA,2023,14.1,33.6,13.1,8.81,11.4,68.4
IUPUI,2023,11.2,31.6,15.8,5.78,9.28,65.3
Jackson State,2023,12.3,34.5,15.6,7.52,11.6,67.6
Jacksonville,2023,13,33.4,11.5,5.1,7.59,63.3
Jacksonville State,2023,12.3,36,13.2,5.55,10.3,69.9
James Madison,2023,13.5,38.1,13.2,9.03,11.9,80.5
Kansas NCAA,2023,16.4,35.9,12.4,8.79,9.74,74.9
Kansas City,2023,9.38,37,13.5,6,13.4,64.4
Kansas State NCAA,2023,16.8,35.6,14.3,7.69,10.4,75.5
Kennesaw State NCAA,2023,14.4,35.2,12.4,7.97,9.62,75.3
Kent State NCAA,2023,12.4,35.5,11.4,8.91,10.8,76.6
Kentucky NCAA,2023,15.3,39,11.7,6.47,13.6,75.1
La Salle,2023,12,35.8,12.6,6.74,11.3,69.8
