TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG,MARCH MADNESS,FINAL FOUR,FINALS,WINNER
Eastern Illinois,2018,12.6,34.3,13.5,5.87,10.7,66.6,0,0,0,0
Eastern Kentucky,2018,13.1,33,12.9,6.23,9.58,71.9,0,0,0,0
Eastern Michigan,2018,12.9,35.1,12.8,8.66,10.2,71.7,0,0,0,0
Eastern Washington,2018,12.6,33.2,11.5,5.29,7.37,74.8,0,0,0,0
Elon,2018,15.8,35.6,11.7,4.38,8.06,73.3,0,0,0,0
Evansville,2018,13,33.1,13.5,5.94,7.72,65.4,0,0,0,0
Fairfield,2018,14.8,35.1,12.8,6.39,9.06,75.9,0,0,0,0
Fairleigh Dickinson,2018,13.4,34.4,13.7,7.1,10.9,74.6,0,0,0,0
Florida NCAA,2018,13.1,35.2,9.85,6.97,10.8,75.8,1,0,0,0
Florida A&M,2018,10.9,32.2,13.9,5.71,10.2,68.9,0,0,0,0
Florida Atlantic,2018,12.1,38.5,12.7,5.87,11.5,69.5,0,0,0,0
Florida Gulf Coast,2018,15.3,38.2,14.1,7.31,10.5,81.3,0,0,0,0
Florida International,2018,11.8,35.9,11.1,7.56,9.97,70.7,0,0,0,0
Florida State NCAA,2018,14.9,37.8,13,6.89,11.4,80.2,1,0,0,0
Fordham,2018,13.5,28.5,12.5,9.13,6.42,62.3,0,0,0,0
Fresno State,2018,13,33.8,12,6.78,9.16,76.8,0,0,0,0
Furman,2018,15.9,35.1,11.6,8.03,9.61,79.4,0,0,0,0
Gardner-Webb,2018,13,35.7,13.7,6.09,9.38,70.6,0,0,0,0
George Mason,2018,11.5,36.8,12.9,6.06,9.97,71.8,0,0,0,0
George Washington,2018,13.3,33.9,12.7,5.73,10.6,67.4,0,0,0,0
Georgetown,2018,17.4,38.4,15.3,5.47,10.9,78.3,0,0,0,0
Georgia,2018,12.2,39.4,12.7,3.82,12.3,68.1,0,0,0,0
Georgia Southern,2018,10.1,37.8,11.3,6.88,12.2,75.9,0,0,0,0
Georgia State NCAA,2018,13,33.8,11.3,7.31,8.83,74.7,1,0,0,0
Georgia Tech,2018,12.8,33.9,12.8,6.91,10.4,65.7,0,0,0,0
Gonzaga NCAA,2018,15.2,39.9,11.4,6.32,11.2,83.5,1,0,0,0
Grambling,2018,11,38.5,15.4,7.71,12.2,72.8,0,0,0,0
Grand Canyon,2018,15.9,38.5,13.2,6.21,11.9,73.9,0,0,0,0
Green Bay,2018,13.9,37.6,13.7,6.85,10.1,76.3,0,0,0,0
Hampton,2018,15.2,40.4,12.9,5.38,11.3,79.5,0,0,0,0
Hartford,2018,13.1,33.3,12.2,6.06,8.42,70.5,0,0,0,0
Harvard,2018,12.7,34.8,13.9,5.41,8.88,68.2,0,0,0,0
Hawaii,2018,14.3,33.2,13.4,5.63,8.87,70.1,0,0,0,0
High Point,2018,11.8,34.6,12.5,7.4,10.8,70.9,0,0,0,0
Hofstra,2018,13.3,35.6,10.8,5.03,11,79.5,0,0,0,0
Holy Cross,2018,13.6,28.4,12.3,6.23,5.74,63.6,0,0,0,0
Houston NCAA,2018,14.4,38.6,11.9,6.23,11.7,76.7,1,0,0,0
Houston Christian,2018,13.9,39.3,14.1,6.65,15.4,76.8,0,0,0,0
Howard,2018,12.3,34.9,13.4,5.39,11.3,74.2,0,0,0,0
Idaho,2018,14.8,36.7,13.3,4.35,9.97,75.2,0,0,0,0
Idaho State,2018,11.8,32.1,13.6,5.63,6.8,73.7,0,0,0,0
Illinois,2018,13.8,32.9,13.3,7.5,12.4,75.8,0,0,0,0
Illinois State,2018,14.2,35.5,13.3,6.55,9.61,71.6,0,0,0,0
Illinois-Chicago,2018,12.5,38.4,15.1,6.78,10.3,75.2,0,0,0,0
Incarnate Word,2018,11.1,34.9,15.8,6.04,10,70.6,0,0,0,0
Indiana,2018,14,35.5,12.5,6.42,11.1,71.9,0,0,0,0
Indiana State,2018,11.6,36.3,14.4,7.52,10.4,72.5,0,0,0,0
Iona NCAA,2018,15.9,33.7,11.6,6.74,8.56,79.5,1,0,0,0
Iowa,2018,18.2,38.1,13.4,5.21,11.8,79.7,0,0,0,0
Iowa State,2018,13.6,36.6,11.9,4.81,10.9,72.8,0,0,0,0
IUPUI,2018,12.8,34.1,14.2,6.83,11.5,68.2,0,0,0,0
Jackson State,2018,10.9,34,11.5,7.34,12.5,62.2,0,0,0,0
Jacksonville,2018,12.6,35.8,14.3,6.85,10,72.9,0,0,0,0
Jacksonville State,2018,15.1,38.1,13,6.11,11.4,71.9,0,0,0,0
James Madison,2018,12.1,35.9,12,7.13,11.3,73.2,0,0,0,0
Kansas NCAA,2018,16.6,35.6,11.7,6.51,9.77,81.4,1,1,0,0
Kansas City,2018,11.1,31.8,12.8,6.31,8.13,70.3,0,0,0,0
Kansas State NCAA,2018,13.8,30.7,11.4,7.95,8.22,71.1,1,0,0,0
Kennesaw State,2018,14.9,32.9,13.6,7.2,10.2,72.7,0,0,0,0
Kent State,2018,11.6,35.9,13,5.91,11.5,73,0,0,0,0
Kentucky NCAA,2018,13.2,38.7,13,5.62,11.9,76.8,1,0,0,0
La Salle,2018,12.8,35.1,11.7,5.91,9.16,72.9,0,0,0,0
Lafayette,2018,12.5,33.1,13.3,4.23,6.77,71.2,0,0,0,0
Lamar,2018,13.6,37.8,13,8.52,12.9,75.8,0,0,0,0
Lehigh,2018,14.3,35.8,12.7,6.13,8.97,77.9,0,0,0,0
Liberty,2018,14.1,33.5,11.8,5.89,7.32,70.8,0,0,0,0
Lipscomb NCAA,2018,15.7,38.7,14.9,6.55,10.5,82.1,1,0,0,0
Little Rock,2018,12.2,34,14.3,4.97,10.1,63.7,0,0,0,0
Long Beach State,2018,12.7,36.2,15.2,6.61,11.5,75.3,0,0,0,0
Long Island University NCAA,2018,12.6,37.9,14.2,5.54,10.6,77,0,0,0,0
Longwood,2018,9.91,32.4,15.6,6.61,7.94,63.3,0,0,0,0
Louisiana,2018,17.4,39,13.4,7.5,12.8,83.2,0,0,0,0
Louisiana State,2018,14.2,33.4,11.6,7.64,9.61,77.5,0,0,0,0
Louisiana Tech,2018,14.2,34.5,12.3,5.94,9.52,74.8,0,0,0,0
Louisiana-Monroe,2018,13.9,33.7,11.9,6.47,9.28,69.8,0,0,0,0
Louisville,2018,13.6,36.6,11.8,6.97,9.94,75.6,0,0,0,0
Loyola (IL) NCAA,2018,15.6,32.2,12.4,6.34,6.26,71.6,1,1,0,0
Loyola (MD),2018,11.6,34.7,13.4,7.03,10.7,69.5,0,0,0,0
Loyola Marymount,2018,14.2,32.6,13.1,6.97,12.1,71.8,0,0,0,0
Maine,2018,11.8,35.3,15.5,6.44,9.56,66.9,0,0,0,0
Manhattan,2018,14,33.2,15.5,6,10.3,69.3,0,0,0,0
Marist,2018,11.9,33.6,15.7,4.19,7.52,72.2,0,0,0,0
Marquette,2018,15.7,31.8,12.3,6.11,9,81.3,0,0,0,0
Marshall NCAA,2018,17.1,35.8,13.2,7,8.14,83.8,1,0,0,0
Maryland,2018,14.1,35.9,13.7,4.31,9.53,73.1,0,0,0,0
Maryland-Baltimore County NCAA,2018,15.2,34.6,12.2,7.47,9.67,73.1,1,0,0,0
Maryland-Eastern Shore,2018,10.8,33.3,13,4.72,10.9,62.3,0,0,0,0
Massachusetts,2018,15.3,32.8,12.8,4.82,9.09,71.9,0,0,0,0
Massachusetts-Lowell,2018,14.5,32.3,13.5,7,9.37,76.2,0,0,0,0
McNeese State,2018,11.3,39.4,14.3,5.38,11.2,75.3,0,0,0,0
Memphis,2018,13,34.3,13.7,5.91,11.5,70.8,0,0,0,0
Mercer,2018,14.4,34.6,12.5,5.35,9.71,75.3,0,0,0,0
Miami (FL) NCAA,2018,13.3,34.8,11.5,6.56,9.94,73.8,1,0,0,0
Miami (OH),2018,13.3,36.2,13.3,7.56,9.97,72,0,0,0,0
Michigan NCAA,2018,14.3,33.3,9.24,6.37,8.41,73.6,1,1,1,0
Michigan State NCAA,2018,19.1,41.1,13.1,4.09,11.6,80.2,1,0,0,0
Middle Tennessee,2018,14.2,35.8,12.5,6.09,10.5,75.1,0,0,0,0
Milwaukee,2018,13,34.7,12.5,5.94,8.82,68.5,0,0,0,0
Minnesota,2018,14.6,38.2,11,5.66,11.6,75.2,0,0,0,0
Mississippi,2018,14.6,38,11.4,6.25,12.3,75.8,0,0,0,0
Mississippi State,2018,13.3,36.1,13.1,6.57,10.8,73.4,0,0,0,0
Mississippi Valley State,2018,10.2,35.6,13.2,5.81,12.3,64.8,0,0,0,0
Missouri NCAA,2018,13.4,37.1,14.2,5.15,10.1,72.7,1,0,0,0
Missouri State,2018,12.9,38.7,11.6,4.64,11.8,70.1,0,0,0,0
Monmouth,2018,12.9,36,15.3,6.35,8.9,75.4,0,0,0,0
Montana NCAA,2018,12.6,37,12.4,7.76,11.8,77.2,1,0,0,0
Montana State,2018,12.5,36.5,12.5,5.5,11.2,76.1,0,0,0,0
Morehead State,2018,11.9,35.9,15.7,5.69,11.7,70.4,0,0,0,0
Morgan State,2018,12.5,38.3,14,7.16,13.7,73.3,0,0,0,0
Mount St. Mary's,2018,14,28.7,11,6.91,6.69,72.8,0,0,0,0
Murray State NCAA,2018,14.7,37.1,12,6.75,10.7,78.6,1,0,0,0
Navy,2018,14.1,34.8,14.2,6.44,10.8,68.7,0,0,0,0
NC State NCAA,2018,16.1,35.6,12.1,7.39,12.2,81.3,1,0,0,0
Nebraska,2018,13.5,36.1,11,6.06,10.8,72.3,0,0,0,0
Nevada NCAA,2018,16.2,35.6,9.65,6.22,9.24,82.6,1,0,0,0
Nevada-Las Vegas,2018,16.2,40.4,14.3,5.58,12,83.4,0,0,0,0
New Hampshire,2018,11.9,38.4,11.7,3.58,11.5,67.8,0,0,0,0
New Mexico,2018,15.9,31.6,12.4,7.38,9.32,82.2,0,0,0,0
New Mexico State NCAA,2018,14.1,41.2,12.6,5.56,12.6,75.6,1,0,0,0
New Orleans,2018,14.6,34.2,15.1,7.21,11.3,69.6,0,0,0,0
Niagara,2018,12,39,11.3,5.18,12,83.3,0,0,0,0
Nicholls State,2018,14.8,37.2,15.3,9.59,11,82.5,0,0,0,0
NJIT,2018,13.9,35.4,13.3,8.2,11,74.9,0,0,0,0
Norfolk State,2018,13.6,38.5,15.4,6.24,12.5,72.7,0,0,0,0
North Carolina NCAA,2018,18.2,42.4,12,5.76,13.8,81.6,1,0,0,0
North Carolina A&T,2018,15.3,35.8,13.8,6.06,9.94,74.9,0,0,0,0
North Carolina Central NCAA,2018,15.6,38.2,14.1,5.11,11.9,72,0,0,0,0
North Dakota,2018,12.8,30.8,13,7.91,7.03,75.8,0,0,0,0
North Dakota State,2018,13.2,34.4,12.6,4.53,7.25,74.4,0,0,0,0
North Florida,2018,14.8,35.1,14.5,5.24,9.45,80.8,0,0,0,0
North Texas,2018,12.5,38.2,13,5.13,11.1,74.4,0,0,0,0
Northeastern,2018,15.8,32.8,13.6,6.67,7.82,74.9,0,0,0,0
Northern Arizona,2018,9.81,33.6,15.5,5.63,10,65.6,0,0,0,0
Northern Colorado,2018,11.9,37.6,12.2,5.34,9.5,81.1,0,0,0,0
Northern Illinois,2018,9.22,34.4,11.8,6.66,9.84,72.5,0,0,0,0
Northern Iowa,2018,10.8,34.7,11.4,5.19,8.34,64.3,0,0,0,0
Northern Kentucky,2018,16.3,36.8,12.5,7.38,9.63,77.7,0,0,0,0
Northwestern,2018,14,33.1,11.7,4.88,10,68.8,0,0,0,0
Northwestern State,2018,9.62,35.7,17.1,6.21,12.4,64.4,0,0,0,0
Notre Dame,2018,14.4,36.8,9.86,5.78,10.7,74.9,0,0,0,0
Oakland,2018,16.8,36.5,13.2,6.06,9.91,78.2,0,0,0,0
